Дата заключения,Дата расчетов,Время,Наименование,Код,Валюта,Вид,Количество,Цена,Сумма,НКД,Комиссия Брокера,Комиссия Биржи,Номер сделки,Комментарий,Статус
30.12.2021,04.01.2022,16:22:03,FXGDETF,FXGD,RUB,Продажа,1,906.2,906.20,0.00,0.54,0.09,4829207953,,И
30.12.2021,04.01.2022,16:24:34,FXGDETF,FXGD,RUB,Покупка,1,906.4,906.40,0.00,0.55,0.09,4829216361,,И
30.12.2021,04.01.2022,16:25:48,FXGDETF,FXGD,RUB,Продажа,1,906.4,906.40,0.00,0.54,0.09,4829221233,,И
30.12.2021,04.01.2022,16:27:05,FXGDETF,FXGD,RUB,Продажа,1,906.2,906.20,0.00,0.54,0.09,4829225682,,И
30.12.2021,04.01.2022,16:30:25,FXGDETF,FXGD,RUB,Покупка,2,906.8,1813.60,0.00,1.09,0.17,4829239337,,И
24.01.2022,26.01.2022,13:01:27,FXIMETF,FXIM,RUB,Покупка,7,96.22,673.54,0.00,0.40,0.07,4903474866,,И
24.01.2022,26.01.2022,13:01:49,FXUSETF,FXUS,RUB,Покупка,45,62.46,2810.70,0.00,1.69,0.26,4903477636,,И
24.01.2022,26.01.2022,13:01:59,FXRLETF,FXRL,RUB,Покупка,17,36.33,617.61,0.00,0.37,0.05,4903478687,,И
24.01.2022,26.01.2022,13:02:52,БПИФбрутто,SBMX,RUB,Покупка,40,16.816,672.64,0.00,0.00,0.07,4903487089,,И
24.01.2022,26.01.2022,13:03:59,FXRWETF,FXRW,RUB,Покупка,65,1.2852,83.54,0.00,0.05,0.02,4903495099,,И
17.02.2022,21.02.2022,11:52:04,FXRUETF,FXRU,RUB,Покупка,13,92.7,1205.10,0.00,0.72,0.11,5002244893,,И
17.02.2022,21.02.2022,11:53:18,FXGDETF,FXGD,RUB,Покупка,2,96.85,193.70,0.00,0.12,0.02,5002270641,,И
17.02.2022,21.02.2022,11:53:24,FXIMETF,FXIM,RUB,Покупка,2,94.94,189.88,0.00,0.11,0.02,5002272511,,И
17.02.2022,21.02.2022,11:53:33,FXUSETF,FXUS,RUB,Покупка,5,61.75,308.75,0.00,0.19,0.03,5002275241,,И
17.02.2022,21.02.2022,11:54:12,FXDEETF,FXDE,RUB,Покупка,6,29.87,179.22,0.00,0.11,0.02,5002287624,,И
17.02.2022,21.02.2022,11:54:30,VTBEETF,VTBE,RUB,Покупка,3,94.83,284.49,0.00,0.17,0.03,5002294597,,И
17.02.2022,21.02.2022,11:55:34,SBSPETF,SBSP,RUB,Покупка,1,1797.6,1797.60,0.00,0.00,0.17,5002311372,,И
17.02.2022,21.02.2022,11:56:27,FXRLETF,FXRL,RUB,Покупка,5,39.3,196.50,0.00,0.12,0.02,5002317146,,И
17.02.2022,21.02.2022,11:56:34,БПИФбрутто,SBMX,RUB,Покупка,7,18.257,127.80,0.00,0.00,0.02,5002318604,,И
17.02.2022,21.02.2022,11:56:56,FXDMETF,FXDM,RUB,Покупка,3,80.29,240.87,0.00,0.14,0.02,5002320424,,И
17.02.2022,21.02.2022,11:59:28,FXRWETF,FXRW,RUB,Покупка,35,1.3039,45.64,0.00,0.03,0.02,5002335531,,И
02.03.2023,03.03.2023,17:43:21,25084,RU000A101FA1,RUB,Покупка,2,98.842,1976.84,43.28,1.19,0.30,7359771110,,И
02.03.2023,06.03.2023,17:49:45,Сбербанк,SBER,RUB,Покупка,10,168.58,1685.80,0.00,1.01,0.50,7359790795,,И
02.03.2023,06.03.2023,18:02:11,БПИФбрутто,SBMX,RUB,Покупка,100,12.364,1236.40,0.00,0.00,0.37,7359828041,,И
29.03.2023,31.03.2023,17:53:18,МТС-ао,MTSS,RUB,Покупка,10,257.9,2579.00,0.00,1.55,0.77,7475075046,,И
29.03.2023,30.03.2023,17:56:31,25084,RU000A101FA1,RUB,Покупка,1,98.854,988.54,25.56,0.59,0.10,7475090543,,И
29.03.2023,31.03.2023,17:57:35,БПИФбрутто,SBMX,RUB,Покупка,110,13.46,1480.60,0.00,0.00,0.45,7475093961,,И
14.04.2023,18.04.2023,18:17:09,ГАЗПРОМао,GAZP,RUB,Покупка,10,178.29,1782.90,0.00,1.07,0.54,7544809849,,И
14.04.2023,17.04.2023,18:20:18,25084,RU000A101FA1,RUB,Покупка,2,99.199,1983.98,3.48,1.19,0.25,7544819275,,И
14.04.2023,18.04.2023,18:22:12,БПИФбрутто,SBMX,RUB,Покупка,70,13.985,978.95,0.00,0.00,0.29,7544825001,,И
27.04.2023,02.05.2023,12:52:37,БПИФбрутто,SBMX,RUB,Покупка,80,14.389,1151.12,0.00,0.00,0.35,7587448512,,О
27.04.2023,02.05.2023,13:05:22,Сбербанк,SBER,RUB,Покупка,10,238.6,2386.00,0.00,1.43,0.71,7587511423,,О
27.04.2023,02.05.2023,13:05:55,ГАЗПРОМао,GAZP,RUB,Покупка,10,178.95,1789.50,0.00,1.08,0.54,7587514459,,О
17.05.2021,19.05.2021,10:21:16,SBSPETF,SBSP,RUB,Покупка,1,1633,1633.00,0.00,0.98,0.15,3943134134,,И
17.05.2021,19.05.2021,10:22:48,FXUSETF,FXUS,RUB,Покупка,1,5615,5615.00,0.00,3.37,0.52,3943142919,,И
17.05.2021,19.05.2021,10:28:00,FXRLETF,FXRL,RUB,Покупка,1,3896.5,3896.50,0.00,2.34,0.36,3943169446,,И
17.05.2021,19.05.2021,10:32:49,FXDMETF,FXDM,RUB,Покупка,40,75.97,3038.80,0.00,1.82,0.28,3943195531,,И
17.05.2021,19.05.2021,10:38:09,FXRUETF,FXRU,RUB,Покупка,2,951.4,1902.80,0.00,1.14,0.18,3943220803,,И
17.05.2021,19.05.2021,10:38:27,FXDEETF,FXDE,RUB,Покупка,1,3117,3117.00,0.00,1.87,0.29,3943222195,,И
17.05.2021,19.05.2021,10:39:11,FXIMETF,FXIM,RUB,Покупка,20,84,1680.00,0.00,1.01,0.16,3943226490,,И
17.05.2021,19.05.2021,10:42:16,БПИФбрутто,SBMX,RUB,Покупка,1,1793,1793.00,0.00,1.08,0.17,3943245308,,И
17.05.2021,19.05.2021,10:44:08,FXRWETF,FXRW,RUB,Покупка,465,1.2158,565.35,0.00,0.34,0.05,3943253105,,И
17.05.2021,19.05.2021,10:54:45,БПИФбрутто,SBMX,RUB,Покупка,1,1790,1790.00,0.00,1.07,0.17,3943320109,,И
17.05.2021,19.05.2021,10:59:00,SBSPETF,SBSP,RUB,Покупка,1,1633.6,1633.60,0.00,0.98,0.15,3943343040,,И
17.05.2021,19.05.2021,11:10:38,VTBEETF,VTBE,RUB,Покупка,3,93.94,281.82,0.00,0.17,0.03,3943397116,,И
25.05.2021,27.05.2021,18:28:44,FXUSETF,FXUS,RUB,Покупка,1,5644,5644.00,0.00,3.39,0.52,3970365261,,И
27.04.2023,02.05.2023,12:52:37,БПИФбрутто,SBMX,RUB,Покупка,80,14.389,1151.12,0.00,0.00,0.35,7587448512,,И
27.04.2023,02.05.2023,13:05:22,Сбербанк,SBER,RUB,Покупка,10,238.6,2386.00,0.00,1.43,0.71,7587511423,,И
27.04.2023,02.05.2023,13:05:55,ГАЗПРОМао,GAZP,RUB,Покупка,10,178.95,1789.50,0.00,1.08,0.54,7587514459,,И
12.05.2023,16.05.2023,18:20:45,ЛУКОЙЛ,LKOH,RUB,Покупка,1,4817,4817.00,0.00,2.89,1.44,7646220764,,И
26.05.2023,30.05.2023,21:41:21,ГАЗПРОМао,GAZP,RUB,Покупка,10,164.79,1647.90,0.00,0.99,0.49,7690509967,,И
30.05.2023,01.06.2023,17:01:45,Магнитао,MGNT,RUB,Покупка,1,4182.5,4182.50,0.00,2.51,1.25,7698304390,,О
09.06.2021,11.06.2021,12:45:24,БПИФбрутто,SBMX,RUB,Покупка,40,18.88,755.20,0.00,0.45,0.07,4019876426,,И
11.06.2021,15.06.2021,22:19:00,FXUSETF,FXUS,RUB,Покупка,1,5616,5616.00,0.00,3.37,0.52,4029471218,,И
18.06.2021,22.06.2021,22:16:53,FXRUETF,FXRU,RUB,Покупка,1,944.2,944.20,0.00,0.57,0.09,4052270711,,И
18.06.2021,22.06.2021,22:17:32,FXGDETF,FXGD,RUB,Покупка,1,869.8,869.80,0.00,0.52,0.08,4052270834,,И
30.05.2023,01.06.2023,17:01:45,Магнитао,MGNT,RUB,Покупка,1,4182.5,4182.50,0.00,2.51,1.25,7698304390,,И
30.05.2023,01.06.2023,17:01:45,Магнитао,MGNT,RUB,Покупка,1,4182.5,4182.50,0.00,2.51,1.25,7698304390,,И
14.06.2023,16.06.2023,22:39:10,YandexclA,YNDX,RUB,Покупка,1,2640,2640.00,0.00,1.58,0.80,7744389521,,И
14.06.2023,16.06.2023,22:40:28,Сбербанк,SBER,RUB,Покупка,10,244.44,2444.40,0.00,1.47,0.73,7744390760,,И
23.06.2023,27.06.2023,10:33:59,МТС-ао,MTSS,RUB,Покупка,10,343.35,3433.50,0.00,2.06,1.03,7792729150,,И
19.07.2021,21.07.2021,10:17:28,VTBEETF,VTBE,RUB,Покупка,17,96.5,1640.50,0.00,0.00,0.15,4163579249,,И
19.07.2021,21.07.2021,17:58:59,VTBEETF,VTBE,RUB,Покупка,16,95.75,1532.00,0.00,0.00,0.14,4165624734,,И
15.09.2021,17.09.2021,15:01:02,VTBEETF,VTBE,RUB,Покупка,14,92.92,1300.88,0.00,0.00,0.12,4388701593,,И
15.09.2021,17.09.2021,15:09:39,FXDMETF,FXDM,RUB,Покупка,12,77.66,931.92,0.00,0.00,0.09,4388750615,,И
15.09.2021,17.09.2021,15:12:44,FXRWETF,FXRW,RUB,Покупка,335,1.3183,441.63,0.00,0.00,0.04,4388771103,,И
15.09.2021,17.09.2021,15:16:18,FXIMETF,FXIM,RUB,Покупка,3,96.2,288.60,0.00,0.00,0.03,4388784287,,И
29.09.2021,01.10.2021,20:12:25,FXGDETF,FXGD,RUB,Покупка,1,847,847.00,0.00,0.00,0.08,4449577457,,О
29.09.2021,01.10.2021,20:19:21,FXDMETF,FXDM,RUB,Покупка,7,75.4,527.80,0.00,0.00,0.05,4449581409,,О
29.09.2021,01.10.2021,20:22:35,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449582892,,О
29.09.2021,01.10.2021,20:25:50,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584383,,О
29.09.2021,01.10.2021,20:25:54,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584414,,О
29.09.2021,01.10.2021,20:25:56,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584428,,О
29.09.2021,01.10.2021,20:25:58,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449584446,,О
30.09.2021,04.10.2021,10:59:34,SBSPETF,SBSP,RUB,Покупка,1,1696.2,1696.20,0.00,0.00,0.16,4453542268,,ЗО
29.09.2021,01.10.2021,20:12:25,FXGDETF,FXGD,RUB,Покупка,1,847,847.00,0.00,0.00,0.08,4449577457,,И
29.09.2021,01.10.2021,20:19:21,FXDMETF,FXDM,RUB,Покупка,7,75.4,527.80,0.00,0.00,0.05,4449581409,,И
29.09.2021,01.10.2021,20:22:35,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449582892,,И
29.09.2021,01.10.2021,20:25:50,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584383,,И
29.09.2021,01.10.2021,20:25:54,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584414,,И
29.09.2021,01.10.2021,20:25:56,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584428,,И
29.09.2021,01.10.2021,20:25:58,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449584446,,И
30.09.2021,04.10.2021,10:59:34,SBSPETF,SBSP,RUB,Покупка,1,1696.2,1696.20,0.00,0.00,0.16,4453542268,,О
29.09.2021,01.10.2021,20:12:25,FXGDETF,FXGD,RUB,Покупка,1,847,847.00,0.00,0.00,0.08,4449577457,,И
29.09.2021,01.10.2021,20:19:21,FXDMETF,FXDM,RUB,Покупка,7,75.4,527.80,0.00,0.00,0.05,4449581409,,И
29.09.2021,01.10.2021,20:22:35,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449582892,,И
29.09.2021,01.10.2021,20:25:50,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584383,,И
29.09.2021,01.10.2021,20:25:54,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584414,,И
29.09.2021,01.10.2021,20:25:56,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584428,,И
29.09.2021,01.10.2021,20:25:58,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449584446,,И
30.09.2021,04.10.2021,10:59:34,SBSPETF,SBSP,RUB,Покупка,1,1696.2,1696.20,0.00,0.00,0.16,4453542268,,И
24.11.2021,26.11.2021,16:45:56,FXIMETF,FXIM,RUB,Покупка,4,102.52,410.08,0.00,0.25,0.04,4676871170,,И
24.11.2021,26.11.2021,16:45:56,FXIMETF,FXIM,RUB,Покупка,1,102.52,102.52,0.00,0.06,0.02,4676871171,,И
24.11.2021,26.11.2021,16:45:56,FXIMETF,FXIM,RUB,Покупка,2,102.52,205.04,0.00,0.12,0.02,4676871172,,И
24.11.2021,26.11.2021,16:47:04,FXRLETF,FXRL,RUB,Покупка,35,42.9,1501.50,0.00,0.90,0.14,4676875070,,И
24.11.2021,26.11.2021,16:47:28,VTBEETF,VTBE,RUB,Покупка,13,93.07,1209.91,0.00,0.73,0.11,4676876400,,И
